Project,Rule,ClassName,MethodName
DeltaSpike,Cipher,DefaultCipherService,aesEncrypt
DeltaSpike,Cipher,DefaultCipherService,aesDecrypt
Directory-serverKerberos-codec,SecretKeySpec,HmacMd5Checksum,calculateChecksum
Directory-serverKerberos-codec,Mac,HmacMd5Checksum,calculateChecksum
Directory-serverKerberos-codec,Mac,ArcFourHmacMd5Encryption,calculateIntegrity
Directory-serverKerberos-codec,Cipher,ArcFourHmacMd5Encryption,processCipher
Directory-serverKerberos-codec,SecretKeySpec,ArcFourHmacMd5Encryption,processCipher
Directory-serverKerberos-codec,Cipher,Des3CbcSha1KdEncryption,processCipher
Directory-serverKerberos-codec,SecretKeySpec,Des3CbcSha1KdEncryption,processCipher
Directory-serverKerberos-codec,IvParameterSpec,Des3CbcSha1KdEncryption,processCipher
Directory-serverKerberos-codec,SecretKeySpec,Des3CbcSha1KdEncryption,processChecksum
Directory-serverKerberos-codec,Mac,Des3CbcSha1KdEncryption,processChecksum
Directory-serverKerberos-codec,Cipher,DesCbcCrcEncryption,processCipher
Directory-serverKerberos-codec,SecretKeySpec,DesCbcCrcEncryption,processCipher
Directory-serverKerberos-codec,IvParameterSpec,DesCbcCrcEncryption,processCipher
Directory-serverKerberos-codec,Cipher,DesCbcMd5Encryption,processCipher
Directory-serverKerberos-codec,SecretKeySpec,DesCbcMd5Encryption,processCipher
Directory-serverKerberos-codec,IvParameterSpec,DesCbcMd5Encryption,processCipher
Directory-serverKerberos-codec,Cipher,DesStringToKey,calculateChecksum
Directory-serverKerberos-codec,SecretKeySpec,DesStringToKey,calculateChecksum
Directory-serverKerberos-codec,IvParameterSpec,AesCtsSha1Encryption,processCipher
Incubator-Traverna-workbench,MessageDigest,Util,doEncryption
Incubator-Traverna-workbench,SecretKeyFactory,Util,doEncryption
Incubator-Traverna-workbench,Cipher,Util,doEncryption
Incubator-Traverna-workbench,PBEParameterSpec,Util,doEncryption
Manifold,MessageDigest,ManifoldCF,startHash
Manifold,RandomNumber,ConnectorPoolConnectorPool,pollAll
Manifold,RandomNumber,Database,getSleepAmt
Meecrowave,SecretKeySpec,Meecrowave,apply
Meecrowave,SecretKeySpec,Meecrowave,apply
Meecrowave,Cipher,Meecrowave,apply
Wicket,PBEParameterSpec,SunJceCrypt,<clinit>
Wicket,PBEParameterSpec,SunJceCrypt,<clinit>
Wicket,PBEParameterSpec,SunJceCrypt,-
Wicket,RandomNumber,Diff,randomEdit
Wicket,RandomNumber,Diff,randomSequence
Artimis,Cipher,DefaultSensitiveStringCodec,decode
Artimis,Cipher,DefaultSensitiveStringCodec,encode
Artimis,SecretKeySpec,DefaultSensitiveStringCodec,decode
Artimis,SecretKeySpec,DefaultSensitiveStringCodec,encode
Artimis,RandomNumber,RandomUtil,randomLong
Artimis,RandomNumber,RandomUtil,randomInt
Artimis,RandomNumber,RandomUtil,randomInterval
Artimis,RandomNumber,RandomUtil,randomPort
Artimis,RandomNumber,RandomUtil,randomShort
Artimis,RandomNumber,RandomUtil,randomByte
Artimis,RandomNumber,RandomUtil,randomBoolean
Artimis,RandomNumber,RandomUtil,randomDouble
Artimis,RandomNumber,RandomUtil,randomFloat
Artimis,SecretKeySpec,DefaultSensitiveStringCodec,decode
Artimis,SecretKeySpec,DefaultSensitiveStringCodec,encode